Date,Open,High,Low,Close,Adj Close,Volume
2014-07-23,109.790001,109.980003,108.209999,108.379997,93.323341,4471400
2014-07-24,105.599998,106.230003,104.089996,105.040001,90.447334,8690300
2014-07-25,104.139999,105.349998,104.099998,104.849998,90.283730,4126200
2014-07-28,104.779999,104.900002,103.169998,104.150002,89.680977,4474300
2014-07-29,105.000000,106.440002,104.690002,104.690002,90.145958,7947100
2014-07-30,105.080002,105.320000,103.029999,103.379997,89.017944,5856900
2014-07-31,102.239998,102.690002,100.739998,100.750000,86.753304,6711400
2014-08-01,100.519997,100.849998,99.110001,100.519997,86.555275,6011900
2014-08-04,100.360001,102.050003,100.099998,101.809998,87.666077,5183900
2014-08-05,101.110001,102.470001,100.940002,101.500000,87.399139,5685400
2014-08-06,100.760002,101.849998,100.610001,101.489998,87.390511,5526900
2014-08-07,102.660004,103.470001,101.879997,101.940002,87.778008,5752800
2014-08-08,102.010002,103.440002,101.779999,103.279999,88.931839,4690200
2014-08-11,104.610001,104.849998,103.930000,104.500000,89.982353,5197900
2014-08-12,104.589996,105.160004,104.129997,104.330002,89.835968,4200900
2014-08-13,104.330002,105.500000,104.330002,105.160004,90.550674,4664900
2014-08-14,105.510002,106.000000,104.989998,105.660004,90.981209,4178800
2014-08-15,106.010002,106.419998,105.129997,105.739998,91.050079,4099200
2014-08-18,106.690002,107.099998,106.279999,106.980003,92.117813,3478600
2014-08-19,107.260002,107.699997,106.870003,107.300003,92.393372,3639200
2014-08-20,107.389999,108.150002,107.199997,107.699997,92.737793,5341600
2014-08-21,108.169998,108.570000,107.540001,107.970001,92.970291,4118100
2014-08-22,107.580002,107.820000,106.540001,107.309998,92.401985,4603700
2014-08-25,107.959999,108.330002,107.730003,107.970001,92.970291,3014100
2014-08-26,108.050003,108.639999,107.980003,108.059998,93.047775,2865800
2014-08-27,108.129997,108.919998,108.080002,108.550003,93.469719,3281900
2014-08-28,108.019997,108.820000,107.800003,108.650002,93.555817,3227800
